inst_id,inst_label,mode_str,EU_status,IU_status,EU_obj,IU_obj,EU_gap,IU_gap,EU_time_sec,IU_time_sec,abs_obj_diff
20,n20_rho5_B_LI2_LE2_QI1_QE1_NCVX_seed110,RLT_SOC2x2_diag_X,OPTIMAL,OPTIMAL,-22.922921879901427,-22.92297547704917,160.6491,160.6497,0.1811,0.2391,5.359714774400004e-5
20,n20_rho5_B_LI2_LE2_QI1_QE1_NCVX_seed110,RLT_SOC2x2_diag_XU,OPTIMAL,OPTIMAL,-22.922956300051784,-22.92293299522632,160.6495,160.6492,0.2007,0.2459,2.330482546497592e-5
20,n20_rho5_B_LI2_LE2_QI1_QE1_NCVX_seed110,RLT_SOC2x2_full_X,OPTIMAL,OPTIMAL,-18.542946848058975,-18.542923314314432,110.8458,110.8455,0.2474,0.2498,2.353374454244772e-5
21,n15_rho7_P_LI3_LE1_QI2_QE1_NCVX_seed111,RLT_SOC2x2_diag_U,SLOW_PROGRESS,OPTIMAL,,-434.25249800633105,,1077.212,0.0995,0.1018,
21,n15_rho7_P_LI3_LE1_QI2_QE1_NCVX_seed111,RLT_SOC_directional_XU,SLOW_PROGRESS,OPTIMAL,,-128.00879206277506,,247.0181,0.1426,0.1034,
21,n15_rho7_P_LI3_LE1_QI2_QE1_NCVX_seed111,RLT_SOC_hybrid_X,OPTIMAL,SLOW_PROGRESS,-123.99611795482042,,236.1402,,0.0952,0.1225,
21,n15_rho7_P_LI3_LE1_QI2_QE1_NCVX_seed111,RLT_SOC_hybrid_U,SLOW_PROGRESS,OPTIMAL,,-434.2525003685677,,1077.212,0.1434,0.1068,
21,n15_rho7_P_LI3_LE1_QI2_QE1_NCVX_seed111,RLT_full_SDP,OPTIMAL,OPTIMAL,-93.51750862022251,-93.52073363363569,153.5159,153.5247,0.6337,0.8814,0.003225013413171496
22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq,RLT,OPTIMAL,OPTIMAL,-32.62607916255454,-32.685129260212946,3341.2086,3347.1136,0.0063,0.0034,0.05905009765840674
22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq,RLT_SOC2x2_diag_U,OPTIMAL,OPTIMAL,-32.626077859086045,-32.68512911859517,3341.2085,3347.1136,0.0039,0.0035,0.05905125950912549
22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq,RLT_SOC2x2_full_U,OPTIMAL,OPTIMAL,-32.626075963974344,-32.68512836525879,3341.2083,3347.1135,0.0035,0.0036,0.05905240128444689
22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq,RLT_SOC_directional_U,OPTIMAL,OPTIMAL,-32.62607696934291,-32.68512912270084,3341.2084,3347.1136,0.0045,0.0035,0.059052153357932013
22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq,RLT_SOC_hybrid_U,OPTIMAL,OPTIMAL,-32.62607708620684,-32.6851289540685,3341.2084,3347.1136,0.0075,0.0053,0.05905186786166183
22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq,RLT_PSD3x3_U,OPTIMAL,OPTIMAL,-32.62607985715327,-32.685129402122854,3341.2087,3347.1136,0.012,0.0163,0.05904954496958226
22,n4_rho3_P_LI1_LE1_QI2_QE1_NCVX_vertexLP_seq,RLT_blockSDP_U,SLOW_PROGRESS,OPTIMAL,,-32.67011181483863,,3345.6119,0.0242,0.0094,
23,n4_rho3_B_LI2_QI4_NCVX_vertexLP_seq,RLT_SOC_hybrid_U,OPTIMAL,OPTIMAL,-5.927213007295954,-5.9272044274425415,270.9104,270.9101,0.0044,0.0052,8.579853412626903e-6
